Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,True,1718980883.6550477,4371.924623250961,1642.688072681427,164.306641,2659.6325573921204
2,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,True,1718980883.6550477,2244.2069652080536,1682.5540480613708,149.252974,491.5753803253174
3,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,True,1718980883.6550477,1933.4473598003387,1463.3164834976196,33.396957,411.2775008678436
4,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,True,1718980883.6550477,2062.123069524765,1598.6840767860413,148.441788,388.9664056301117
5,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,True,1718980883.6550477,533.832407951355,0,103.17970000000001,360.2032389640808
6,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,True,1718980883.6550477,1287.0445446968079,1215.316993713379,108.48726500000001,0.8451640605926514
1,GZIP,testdb_testdb,GIGANTICORDERS,10,True,1718993376.235494,4493.029099702835,4218.837910652161,91.696337,215.79430174827576
2,GZIP,testdb_testdb,GIGANTICORDERS,10,True,1718993376.235494,6105.534754991531,4862.4995975494385,82.56276700000001,1167.445745229721
3,GZIP,testdb_testdb,GIGANTICORDERS,10,True,1718993376.235494,1413.8492562770844,0,87.749449,1258.1357910633087
4,GZIP,testdb_testdb,GIGANTICORDERS,10,True,1718993376.235494,4296.62504863739,4218.764664411545,119.56498599999999,0.48632025718688965
5,GZIP,testdb_testdb,GIGANTICORDERS,10,True,1718993376.235494,5625.5112562179565,4550.502240657806,76.731356,1005.4732716083527
6,GZIP,testdb_testdb,GIGANTICORDERS,10,True,1718993376.235494,4848.9679090976715,3953.1810343265533,77.55062799999999,827.8524813652039
1,GZIP,testdb_testdb,ORDERSWIDE2,10,True,1719020219.754394,5507.994951248169,4602.7861042022705,95.651612,838.2458345890045
2,GZIP,testdb_testdb,ORDERSWIDE2,10,True,1719020219.754394,1019.2160148620605,0,85.67076700000001,868.4651050567627
3,GZIP,testdb_testdb,ORDERSWIDE2,10,True,1719020219.754394,4179.152796983719,4048.8474626541138,63.11985,0.7948203086853027
4,GZIP,testdb_testdb,ORDERSWIDE2,10,True,1719020219.754394,5110.9253034591675,4090.453717947006,161.338686,871.777839422226
5,GZIP,testdb_testdb,ORDERSWIDE2,10,True,1719020219.754394,5114.988669872284,4269.45035982132,74.85649000000001,778.400716304779
6,GZIP,testdb_testdb,ORDERSWIDE2,10,True,1719020219.754394,1192.082064151764,0,102.937772,1018.6170902252197
